claim_id,module,doc_location,code_location,formula,symbols_units,domain_assumptions,verification_method,wolfram_input,status,limitations
GEOM-001,geometry,arclength.py:31 (docstring),src/crowd_management/geometry/arclength.py:30-34,"A = 1/2 * Sum(x_i*y_{i+1} - x_{i+1}*y_i); A>0 iff CCW","x,y in metres; A in m^2","simple closed polygon; >=3 distinct vertices","symbolic identity + exact rational polygons (L2/L3)",wolfram/tests/geometry.wlt#GEOMETRY-AREA-001,SYMBOLICALLY_PROVED,"orientation criterion proved for simple polygons only"
GEOM-002,geometry,docs/RESEARCH_SPEC.md:160-163,src/crowd_management/geometry/arclength.py:181-185,"L = Sum ||p_{i+1}-p_i|| with wrap-around","p in metres; L in metres","finite non-degenerate polygon","exact polygons cross-checked vs Python (L3/L4)",wolfram/tests/geometry.wlt#GEOMETRY-ARC-001,EXACTLY_VERIFIED,"polygonal curves only"
GEOM-003,geometry,arclength.py:151-153 (docstring),src/crowd_management/geometry/arclength.py:187,"count = max(3, ceil(L/spacing - 1e-12)); realized spacing = L/count <= spacing","spacing in metres","spacing>0; L>0 finite","ceiling inequality via Reduce + boundary sampling (L2/L4)",wolfram/tests/geometry.wlt#GEOMETRY-SPACING-001,ASSUMPTION_GAP,"1e-12 guard admits realized spacing marginally above requested spacing when L/spacing is within 1e-12 above an integer; docstring says 'maximum requested sample spacing'"
GEOM-004,geometry,arclength.py:157-159 (docstring),src/crowd_management/geometry/arclength.py:188,"arc_s[k] = k*L/count; arc_s[0]=0; strictly increasing; arc_s[-1]<L","arc_s in metres","as GEOM-003","exact enumeration (L3)",wolfram/tests/geometry.wlt#GEOMETRY-ARCS-001,EXACTLY_VERIFIED,
GEOM-005,geometry,docs/RESEARCH_SPEC.md:349,src/crowd_management/geometry/arclength.py:210,"d_L(a,b) = min(|a-b|, L-|a-b|) == |((a-b+L/2) mod L) - L/2|","a,b,L in metres","L>0; finite; equivalence after wrapping a-b into [0,L)","Reduce equivalence + exhaustive rationals (L2/L3)",wolfram/tests/geometry.wlt#GEOMETRY-PDIST-001,SYMBOLICALLY_PROVED,
GEOM-006,geometry,docs/RESEARCH_SPEC.md:87-99,src/crowd_management/geometry/arclength.py:214-229,"max gap of sorted (s mod L) incl. seam; gaps sum to L; relabel/phase invariant","s,L in metres","non-empty finite; L>0","exact enumeration + invariance (L3/L4)",wolfram/tests/geometry.wlt#GEOMETRY-GAP-001,EXACTLY_VERIFIED,
GEOM-007,geometry,arclength.py:158-160 (docstring),src/crowd_management/geometry/arclength.py:197,"outward normal = (t_y, -t_x) for CCW curves","unit vectors","convex/star-shaped test curves","n.(p-centroid)>0 at 50 digits (L4)",wolfram/tests/geometry.wlt#GEOMETRY-NORMAL-001,NUMERICALLY_VERIFIED_WITHIN_DOMAIN,"outwardness proved only on tested curve families"
GEOM-008,geometry,,src/crowd_management/geometry/arclength.py:195-196,"central-difference tangent error = O(h^2)","h in metres","analytic circle/ellipse","convergence-order fit at 50 digits (L4)",wolfram/tests/geometry.wlt#GEOMETRY-TANGENT-001,NUMERICALLY_VERIFIED_WITHIN_DOMAIN,
GEOM-009,geometry,docs/RESEARCH_SPEC.md:161,src/crowd_management/geometry/arclength.py:50-130,"orientation/on-segment predicate detects non-adjacent segment intersections","atol=1e-9","exact-arithmetic borderline cases","exact case enumeration incl. touching/collinear (L3)",wolfram/tests/geometry.wlt#GEOMETRY-SELFX-001,EXACTLY_VERIFIED,
GEOM-010,geometry,,src/crowd_management/geometry/arclength.py,"L / arc gaps / H invariant under rigid transforms","","rigid transforms only","property tests with 50-digit rotations (L4)",wolfram/tests/geometry.wlt#GEOMETRY-INVAR-001,PROPERTY_TESTED,
COV-001,periodic_coverage,,src/crowd_management/controllers/periodic_arc_cvt.py:150-153,"Integrate[(s-c)^2,{s,l,r}] = ((r-c)^3-(l-c)^3)/3","s,c,l,r in metres; H in m^3","polynomial identity","FullSimplify residual == 0 (L2)",wolfram/tests/periodic_coverage.wlt#PERIODIC-CELL-001,SYMBOLICALLY_PROVED,
COV-002,periodic_coverage,docs/RESEARCH_SPEC.md:196-197,src/crowd_management/controllers/periodic_arc_cvt.py:262;381,"equal-arc H* = L^3/(12 m^2)","L in metres; m positive integer; H in m^3","L>0; m>=1 integer; uniform density phi=1; periodic 1-D arc; equal spacing","symbolic derivation from cell integrals (L2)",wolfram/tests/periodic_coverage.wlt#PERIODIC-HSTAR-001,SYMBOLICALLY_PROVED,"uniform density only; does not transfer to non-uniform phi"
COV-003,periodic_coverage,docs/RESEARCH_SPEC.md:353-354 (implicit),,"equal spacing globally minimizes H = Sum g_i^3/12 s.t. Sum g_i = L","g_i in metres","fixed m; g_i>=0; proved per-m for m=2..6","Resolve/Minimize per fixed m (L2)",wolfram/tests/periodic_coverage.wlt#PERIODIC-OPT-001,SYMBOLICALLY_PROVED,"general-m case argued by power-mean inequality; CAS proof executed for m=2..6"
COV-004,periodic_coverage,,src/crowd_management/controllers/periodic_arc_cvt.py:175-188,"Python periodic_uniform_coverage_cost equals exact integral","","valid sites; L>0","cross-language exact/50-digit comparison (L3/L4)",wolfram/tests/periodic_coverage.wlt#PERIODIC-CROSS-001,EXACTLY_VERIFIED,
COV-005,periodic_coverage,docs/RESEARCH_SPEC.md:198-200,src/crowd_management/controllers/periodic_arc_cvt.py:330-350,"relaxed Lloyd never increases H beyond 1e-10 (guarded)","","gains in [eta_min,1]","property test on exported runs (L4)",wolfram/tests/periodic_coverage.wlt#PERIODIC-MONO-001,PROPERTY_TESTED,"no symbolic monotonicity proof for relaxed gains; guard makes violation an explicit failure state"
COV-006,periodic_coverage,,src/crowd_management/controllers/periodic_arc_cvt.py:164-172,"equal-arc max consecutive gap G = L/m","G in metres","as COV-002","symbolic + exact enumeration (L2/L3)",wolfram/tests/periodic_coverage.wlt#PERIODIC-GAP-001,SYMBOLICALLY_PROVED,
COV-007,periodic_coverage,docs/RESEARCH_SPEC.md:356-358,,"uniform-density optimum not claimed for non-uniform densities","","","scope statement check",,NOT_APPLICABLE,
RES-001,resources,docs/RESEARCH_SPEC.md:210;362,src/crowd_management/controllers/resources.py:68,"m_req = ceil(L/g_req); L/m_req <= g_req; minimality of m_req","L,g_req in metres; m integer","L>0; g_req>0","Reduce/Resolve over reals and integers (L2)",wolfram/tests/resources.wlt#RESOURCE-CEILING-001,SYMBOLICALLY_PROVED,
RES-002,resources,docs/RESEARCH_SPEC.md:215-217,src/crowd_management/controllers/resources.py:86-90,"active=min(desired,available); unmet=max(desired-available,0); unmet>0 => CAPACITY_SHORTFALL","counts","non-negative integers","exhaustive small-integer enumeration (L3)",wolfram/tests/resources.wlt#RESOURCE-CLIP-001,EXACTLY_VERIFIED,
RES-003,resources,docs/RESEARCH_SPEC.md:211-214 (implicit),src/crowd_management/controllers/resources.py:71-84,"hysteresis loop-exit invariant: L <= desired*g_req + h_inc","h_inc in metres","prior count provided; margins >= 0","symbolic loop-exit condition + enumeration (L2/L3)",wolfram/tests/resources.wlt#RESOURCE-HYST-001,SYMBOLICALLY_PROVED,"gap may exceed g_req by up to h_inc/desired while hysteresis holds the count"
RES-004,resources,,src/crowd_management/controllers/resources.py:18-26;58-66,"invalid inputs (L<=0, g_req<=0, negative counts) raise ValueError","","","Python-side enumeration (L1/L3)",artifacts/math_verification/cases/resources_cases.json,EXACTLY_VERIFIED,
RES-005,resources,docs/RESEARCH_SPEC.md:211-214,src/crowd_management/controllers/resources.py:71-84,"hysteresis holds count only within configured margins","","margins >= 0","exhaustive enumeration over integer grid (L3)",wolfram/tests/resources.wlt#RESOURCE-HYST-002,EXACTLY_VERIFIED,
RES-006,resources,docs/RESEARCH_SPEC.md:233-234,src/crowd_management/controllers/abcg_v2.py:167;178,"reserve guides receive zero velocity","","fixed-target episode","episode trace check (L3)",wolfram/tests/controller.wlt#CONTROL-RESERVE-001,PROPERTY_TESTED,
ASG-001,assignment,docs/RESEARCH_SPEC.md:365-366,src/crowd_management/controllers/assignment.py:142-144,"C_ik = ||p_i-z_k||^2 + lambda_switch*1[k != prev(i)]","cost in m^2","finite (M,2)/(K,2) inputs","cross-language cost-matrix recomputation (L3)",wolfram/tests/assignment.wlt#ASSIGNMENT-COST-001,EXACTLY_VERIFIED,
ASG-002,assignment,docs/RESEARCH_SPEC.md:218 (implicit),src/crowd_management/controllers/assignment.py:101-171,"SciPy Hungarian total cost equals brute-force optimum for n<=7","","square augmented matrix incl. reserve/unmet padding","brute-force Permutations enumeration (L3)",wolfram/tests/assignment.wlt#ASSIGNMENT-BRUTEFORCE-001,EXACTLY_VERIFIED,"optimal value compared; assignment may differ under exact ties"
ASG-003,assignment,,src/crowd_management/controllers/assignment.py:19,"deterministic tie rule beyond solver determinism","","","tie-instance enumeration (L3)",wolfram/tests/assignment.wlt#ASSIGNMENT-TIE-001,ASSUMPTION_GAP,"tie_tolerance validated but unused; no documented tie-breaking rule"
ASG-004,assignment,,src/crowd_management/controllers/assignment.py:18;169,"unmet_target_cost=1e6 dominates real costs in room domain","cost in m^2","positions inside <=20x14 m room","symbolic bound + out-of-domain counterexample search (L2/L5)",wolfram/tests/assignment.wlt#ASSIGNMENT-DOMINATE-001,NUMERICALLY_VERIFIED_WITHIN_DOMAIN,"not guaranteed for coordinates with ||p-z||^2 approaching 1e6"
ASG-005,assignment,docs/RESEARCH_SPEC.md:219-221,src/crowd_management/controllers/assignment.py:7;110,"doc says Hungarian 'without adding SciPy'; code imports SciPy","","","direct inspection",,IMPLEMENTATION_MISMATCH,"documentation statement contradicts implementation"
CTRL-001,controller,docs/RESEARCH_SPEC.md:380-381,src/crowd_management/controllers/abcg_v2.py:177;189-198,"e_{k+1} = (1 - k_p dt) e_k with e = z - p","e in metres; k_p in 1/s; dt in s","fixed target; unsaturated; no safety projection","symbolic (L2)",wolfram/tests/controller.wlt#CONTROL-RECURSION-001,SYMBOLICALLY_PROVED,
CTRL-002,controller,,,"convergence iff |1-k_p dt|<1 iff 0<k_p dt<2","","as CTRL-001","Reduce equivalence (L2)",wolfram/tests/controller.wlt#CONTROL-STABILITY-001,SYMBOLICALLY_PROVED,
CTRL-003,controller,abcg_v2.py:43 (error message),src/crowd_management/controllers/abcg_v2.py:42-43,"monotone non-oscillatory iff 0<k_p dt<=1; code enforces k_p*dt<=1","","as CTRL-001","Reduce equivalence (L2)",wolfram/tests/controller.wlt#CONTROL-MONOTONE-001,SYMBOLICALLY_PROVED,
CTRL-004,controller,,,"V=1/2||e||^2; DeltaV = 1/2((1-k_p dt)^2-1)||e||^2 < 0 for 0<k_p dt<2, e!=0","V in m^2","as CTRL-001","symbolic sign analysis (L2)",wolfram/tests/controller.wlt#CONTROL-LYAPUNOV-001,SYMBOLICALLY_PROVED,
CTRL-005,controller,,src/crowd_management/controllers/abcg_v2.py:177-186,"saturated: ||e_{k+1}|| = ||e_k|| - dt*v_max while k_p||e_k||>v_max and dt*v_max<=||e_k||","v_max in m/s","fixed target; exact saturation direction","piecewise symbolic + 50-digit simulation (L2/L4)",wolfram/tests/controller.wlt#CONTROL-SATURATED-001,SYMBOLICALLY_PROVED,"ignores nextafter epsilon (order 1e-16 relative)"
CTRL-006,controller,abcg_v2.py:182-183 (comment),src/crowd_management/controllers/abcg_v2.py:179-186,"saturated output satisfies ||u|| <= v_max in float64","","float64 arithmetic","float boundary sampling (L4/L5)",wolfram/tests/controller.wlt#CONTROL-SATBOUND-001,NUMERICALLY_VERIFIED_WITHIN_DOMAIN,"floating-point claim; sampled not exhaustively proven"
CTRL-007,controller,docs/RESEARCH_SPEC.md:272-276,src/crowd_management/controllers/abcg_v2.py,"projected u_applied != u_nom possible; fixed-target proof not applicable then","","","scope statement + PROJECTED frame cross-check",,ASSUMPTION_GAP,"no convergence guarantee under active safety projection"
CTRL-008,controller,docs/RESEARCH_SPEC.md:489-509,,"controller CONVERGED != deployment success","","","not CAS-checkable",,NOT_VERIFIABLE_BY_CAS,
CTRL-009,controller,,src/crowd_management/controllers/abcg_v2.py:189-198,"Python episode integrator reproduces exact recursion","","unsaturated + saturated segments; safety disabled","cross-language trace comparison at 50 digits (L4)",wolfram/tests/controller.wlt#CONTROL-TRACE-001,EXACTLY_VERIFIED,
CTRL-010,controller,docs/RESEARCH_SPEC.md:373-375,,"moving-waypoint convergence not claimed","","","scope statement",,NOT_APPLICABLE,
SAF-001,safety,,src/crowd_management/controllers/safety.py:321-346,"projection objective 1/2||u-u_nom||^2 has Hessian I","u in m/s","","symbolic Hessian (L2)",wolfram/tests/safety_projection.wlt#SAFETY-HESSIAN-001,SYMBOLICALLY_PROVED,
SAF-002,safety,docs/RESEARCH_SPEC.md:258-271,src/crowd_management/controllers/safety.py:117-218,"feasible set (half-spaces intersect speed balls) is closed convex","","","per-set convexity symbolically (L2)",wolfram/tests/safety_projection.wlt#SAFETY-CONVEX-001,SYMBOLICALLY_PROVED,
SAF-003,safety,,,"unique projection when feasible set non-empty","","strong convexity + convexity (SAF-001/002)","standard theorem; premises CAS-verified",wolfram/tests/safety_projection.wlt#SAFETY-UNIQUE-001,SYMBOLICALLY_PROVED,"uniqueness theorem itself cited, premises machine-checked"
SAF-004,safety,docs/RESEARCH_SPEC.md:258-267,src/crowd_management/controllers/safety.py:141-202,"code rows realize n_ij.(u_i-u_j) >= (d+buffer-||p_i-p_j||)/dt etc.","d in metres","non-coincident points","cross-language (A,b) reconstruction (L3)",wolfram/tests/safety_projection.wlt#SAFETY-ROWS-001,EXACTLY_VERIFIED,
SAF-005,safety,docs/RESEARCH_SPEC.md:285-288,,"half-space satisfaction implies next-step distance >= d+buffer (one step)","","fixed crowd points; exact Euler step; one step","symbolic Cauchy-Schwarz proof (L2)",wolfram/tests/safety_projection.wlt#SAFETY-SUFFICIENT-001,SYMBOLICALLY_PROVED,"one-step sampled-data property only"
SAF-006,safety,docs/RESEARCH_SPEC.md:261-263,src/crowd_management/controllers/safety.py:184-202,"room half-spaces keep p+dt*u inside margins exactly","","one step","symbolic (L2)",wolfram/tests/safety_projection.wlt#SAFETY-ROOM-001,SYMBOLICALLY_PROVED,
SAF-007,safety,docs/RESEARCH_SPEC.md:269-271,src/crowd_management/controllers/safety.py:321-354,"Dykstra output matches high-precision reference projection within tolerance","","non-empty-interior tested instances","50-digit reference solve + comparison (L4)",wolfram/tests/safety_projection.wlt#SAFETY-DYKSTRA-001,NUMERICALLY_VERIFIED_WITHIN_DOMAIN,"finite sweeps give approximate projection; verified on tested instances only"
SAF-008,safety,,,"KKT stationarity/primal/complementarity residuals vanish at reference solutions","","tested instances","high-precision KKT residuals (L4)",wolfram/tests/safety_projection.wlt#SAFETY-KKT-001,NUMERICALLY_VERIFIED_WITHIN_DOMAIN,
SAF-009,safety,,src/crowd_management/controllers/safety.py (docstrings),"problem class is strongly convex QCQP not pure LP-constrained QP","","","classification check",,EXACTLY_VERIFIED,
SAF-010,safety,docs/RESEARCH_SPEC.md:285-288;384-389,,"no continuous-time forward-invariance claim made or verified","","","scope statement",,NOT_VERIFIABLE_BY_CAS,
SAF-011,safety,docs/RESEARCH_SPEC.md:272-276,src/crowd_management/controllers/safety.py:357-364,"SAFETY_INFEASIBLE => finite zero-velocity emergency control","","","exported instance check (L3)",wolfram/tests/safety_projection.wlt#SAFETY-EMERGENCY-001,PROPERTY_TESTED,
BND-001,boundary,docs/RESEARCH_SPEC.md:304-306,src/crowd_management/estimation/boundary_v2.py:726-747,"uncertainty = sqrt(mean_replicas(min-dist^2)) nearest-point RMS","metres","replica curves valid","cross-language recomputation on fixed replicas (L3)",wolfram/tests/statistics.wlt#STAT-BOOTRMS-001,EXACTLY_VERIFIED,"nearest-point matching; no explicit phase registration exists in code"
BND-002,boundary,docs/RESEARCH_SPEC.md:306-307,src/crowd_management/estimation/boundary_v2.py:748-760,"confidence = clip(exp(-u/scale), floor, 1); monotone non-increasing in u","dimensionless","","symbolic monotonicity + cross-check (L2/L3)",wolfram/tests/statistics.wlt#STAT-CONF-001,EXACTLY_VERIFIED,
BND-003,boundary,,src/crowd_management/estimation/boundary_v2.py:299-313,"circumradius R = abc/(4 Area) = abc/(2|cross|)","metres","non-degenerate triangle","symbolic identity (L2)",wolfram/tests/geometry.wlt#GEOMETRY-CIRCUM-001,SYMBOLICALLY_PROVED,
BND-004,boundary,,,"bootstrap uncertainty is calibrated (empirical coverage of confidence tube)","","requires held-out calibration data absent from main","cannot be established by CAS from formulas",,NOT_VERIFIABLE_BY_CAS,"no calibration dataset on main; formula-level checks cannot prove calibration"
BND-005,boundary,,src/crowd_management/estimation/boundary_v2.py:726-730,"nearest-distance statistics rigid-transform invariant (both curves transformed)","","rigid transforms","property test at high precision (L4)",wolfram/tests/statistics.wlt#STAT-BOOTINV-001,PROPERTY_TESTED,
BND-006,boundary,docs/RESEARCH_SPEC.md:307-309,src/crowd_management/estimation/boundary_v2.py:732-744,"failures counted; success < ceil(fraction*samples) => BOUNDARY_INVALID","counts","","integer threshold enumeration (L3)",artifacts/math_verification/cases/boundary_cases.json,EXACTLY_VERIFIED,
MET-001,metrics,,src/crowd_management/containment_metrics.py:16-31,"coverage_ratio = mean(min-dist <= r_cov) in [0,1]; rigid/relabel invariant","dimensionless","non-empty inputs","hand examples + invariance (L3/L4)",wolfram/tests/metrics.wlt#METRIC-COVERAGE-001,EXACTLY_VERIFIED,
MET-002,metrics,docs/RESEARCH_SPEC.md:85-99,src/crowd_management/containment_metrics.py:34-48,"max_k min_i ||b_k - g_i|| Euclidean diagnostic (not arc gap)","metres","non-empty inputs","hand examples + invariance (L3/L4)",wolfram/tests/metrics.wlt#METRIC-MAXDIST-001,EXACTLY_VERIFIED,
MET-003,metrics,docs/RESEARCH_SPEC.md:87-99,src/crowd_management/geometry/arclength.py:214-229,"arc gaps sum to L; max gap cyclic-reindex/phase invariant","metres","L>0","symbolic + enumeration (L2/L3)",wolfram/tests/metrics.wlt#METRIC-GAP-001,SYMBOLICALLY_PROVED,
MET-004,metrics,,src/crowd_management/controllers/abcg_v2.py:201-205,"tracking_rmse = sqrt(mean_active ||p-z||^2); 0 if no active","metres","","hand examples (L3)",wolfram/tests/metrics.wlt#METRIC-RMSE-001,EXACTLY_VERIFIED,
MET-005,metrics,,src/crowd_management/evaluation/step1_g6.py:470-481,"path_length = Sum||dp||; control_energy = dt*Sum||u||^2","m; m^2/s","recorded traces","cross-language recomputation (L3)",wolfram/tests/metrics.wlt#METRIC-PATH-001,EXACTLY_VERIFIED,
MET-006,metrics,,src/crowd_management/containment_metrics.py:78-95,"single guide => min inter-guide distance = inf; <=1 point => angular error 0; empty raises","","","Python-side enumeration (L3)",artifacts/math_verification/cases/metrics_cases.json,EXACTLY_VERIFIED,
MET-007,metrics,,src/crowd_management/containment_metrics.py:78-84,"angular_uniformity_error = mean|gap-2pi/M|/(2pi/M)","dimensionless","M>=2 guides","hand examples + rotation invariance (L3/L4)",wolfram/tests/metrics.wlt#METRIC-ANGULAR-001,EXACTLY_VERIFIED,
MET-008,metrics,docs/RESEARCH_SPEC.md:248-250,src/crowd_management/evaluation/step1_g6.py,"final-frame vs initial-frame semantics","","","inspection + trace check",,PROPERTY_TESTED,
STAT-001,statistics,docs/RESEARCH_SPEC.md:322-324,src/crowd_management/evaluation/step1_g6.py:731-750,"mean/median/p95 (NumPy linear-interp percentile)/worst-5% mean of worst ceil(0.05n)","metric units","n>=1","cross-language recomputation with NumPy quantile rule (L3)",wolfram/tests/statistics.wlt#STAT-SUMMARY-001,EXACTLY_VERIFIED,
STAT-002,statistics,docs/RESEARCH_SPEC.md:322-324,src/crowd_management/evaluation/step1_g6.py:735-747;823-835,"percentile bootstrap 95% CI of mean given identical resample indices","metric units","indices exported from Python","cross-language recomputation (L3)",wolfram/tests/statistics.wlt#STAT-BOOT-001,EXACTLY_VERIFIED,"CI equality verified conditional on shared resample indices"
STAT-003,statistics,docs/RESEARCH_SPEC.md:322-324,src/crowd_management/evaluation/step1_g6.py:826-836,"Cohen d_z = mean(d)/std(d, ddof=1); None when std=0","dimensionless","n>=2","cross-language recomputation (L3)",wolfram/tests/statistics.wlt#STAT-DZ-001,EXACTLY_VERIFIED,
STAT-004,statistics,,src/crowd_management/evaluation/step1_g6.py:828;837,"win rate = fraction of differences favouring abcg_v2 in direction","dimensionless","","cross-language recomputation (L3)",wolfram/tests/statistics.wlt#STAT-WINRATE-001,EXACTLY_VERIFIED,
STAT-005,statistics,docs/RESEARCH_SPEC.md:324-325,src/crowd_management/evaluation/step1_g6.py:773-799,"failure_rate = mean(status != CONVERGED) over all records incl. failures","dimensionless","","synthetic-record property test (L3)",wolfram/tests/statistics.wlt#STAT-DENOM-001,PROPERTY_TESTED,
STAT-006,statistics,,src/crowd_management/evaluation/step1_g6.py:815-841,"missing pairs skipped and reported, not imputed","counts","","synthetic-record property test (L3)",wolfram/tests/statistics.wlt#STAT-MISSING-001,PROPERTY_TESTED,
STAT-007,statistics,,,"Holm/multiple-testing correction","","","repository-wide search: not claimed, not implemented",,NOT_APPLICABLE,"docs never claim multiplicity control"
STAT-008,statistics,,src/crowd_management/evaluation/step1_g6.py:802-843,"many paired comparisons without multiplicity control; n=30 seeds","","","design assessment",,ASSUMPTION_GAP,"implementation correct; inferential multiplicity and sample size are design limitations"
DOC-001,documentation,docs/RESEARCH_SPEC.md:219-221,src/crowd_management/controllers/assignment.py:7,"'Hungarian without adding SciPy' contradicts SciPy import","","","direct inspection",,IMPLEMENTATION_MISMATCH,"documentation error, not an algorithmic error"
DOC-002,documentation,docs/RESEARCH_SPEC.md:285-288;489-509,,"explicit non-claims consistent with code and audit","","","inspection",,EXACTLY_VERIFIED,
